user,product,intensity,id_int,freshness,id_fresh,jasmin,id_jasm,rose,id_rose,liking
1679,Coco Mademoiselle,47.3,45.8,80.6,82.7,27.6,40,12.1,11.5,5
1679,Pleasures,19.7,58.2,60,60.3,55.8,54.8,13.9,12.7,7
1679,Shalimar,84.2,43.6,46.1,46.4,18.2,18.2,17.6,18.5,2
1755,Angel,50.3,51.5,81.8,82.1,70.9,70.3,50.9,50.3,9
1755,Chanel N5,82.1,81.2,81.5,83,56.7,72.4,35.8,35.5,8
1755,Coco Mademoiselle,66.4,77.9,82.1,80.9,80.9,81.5,42.1,41.2,8
1755,Pleasures,70.9,75.8,73.6,74.5,76.4,75.8,80,79.7,8
1755,Shalimar,72.7,78.5,32.1,43.9,21.2,41.2,17.3,58.8,9
1761,Angel,48.5,60.6,48.5,60.6,41.5,45.2,53,44.5,4
1761,Chanel N5,50,64.5,55.2,65.5,44.8,55.5,38.8,43,5
1761,Coco Mademoiselle,28.5,65.5,39.1,58.8,37.6,54.8,36.7,57.3,5
1761,Pleasures,79.1,64.8,77,60.9,60.9,62.4,66.1,64.2,6
1761,Shalimar,68.8,64.2,36.1,62.4,36.1,61.8,38.2,60.6,4
1801,Angel,36.4,57,38.2,50.9,6.7,6.7,7,6.4,6
1801,Chanel N5,37.3,47.9,20.3,38.8,6.4,7,5.2,7.3,6
1801,Coco Mademoiselle,54.2,55.8,27,35.2,6.1,6.7,6.7,5.8,6
1801,Pleasures,59.4,53.3,50.6,50.9,7,7.6,7.6,7.9,7
1801,Shalimar,37.3,53.3,22.4,43.6,6.7,7,7.3,7.3,4
1956,Angel,63.6,64.8,41.5,63.9,15.8,29.7,14.8,14.2,3
1956,Chanel N5,60.9,65.2,60.9,59.1,29.7,29.4,12.1,11.5,6
1956,Coco Mademoiselle,60.6,63,64.2,64.8,18.5,17.6,29.4,29.1,7
1956,Pleasures,55.8,70.9,65.8,66.7,24.8,24.2,27.9,27.6,6
1956,Shalimar,71.2,70.9,72.1,69.1,22.1,23.6,14.2,13.6,7
2119,Angel,80.6,39.4,27.3,40.6,72.1,42.7,27,40.3,5
2119,Chanel N5,47.9,39.7,37.9,39.4,31.2,26.4,29.1,24.8,6
2119,Coco Mademoiselle,47.3,45.2,43.3,44.5,35.8,39.4,28.8,36.1,8
2119,Pleasures,45.5,44.5,45.2,48.2,35.5,40.6,34.5,38.8,7
2119,Shalimar,65.8,43.6,11.8,36.1,40,28.5,35.2,30,5
2529,Angel,91.8,10.3,10.9,87,13.3,92.4,9.7,89.4,2
2529,Chanel N5,89.7,29.4,23,66.1,9.4,71.2,10.9,30,6
2529,Coco Mademoiselle,62.4,77.9,88.8,89.7,71.5,61.5,12.7,11.5,7
2529,Pleasures,36.4,34.8,70.6,93.3,68.2,73.3,43.3,39.4,6
2529,Shalimar,89.1,16.4,13.9,91.8,11.5,89.7,12.7,16.4,3
2909,Angel,79.4,46.4,72.7,30.3,63.9,39.1,75.2,41.5,2
2909,Chanel N5,70,56.1,52.7,53.3,48.2,55.2,55.8,58.8,7
2909,Coco Mademoiselle,59.4,49.7,71.5,42.1,58.2,35.5,38.8,32.1,7
2909,Pleasures,45.2,38.8,27.9,41.8,31.5,50.9,30.9,48.8,4
2909,Shalimar,42.4,44.8,47.9,54.2,51.2,49.7,50.9,48.2,7
2936,Angel,55.2,71.2,13.6,55.8,11.2,39.7,10.9,43,3
2936,Chanel N5,59.7,47.9,17.3,57.9,11.8,53.3,14.2,56.1,3
2936,Coco Mademoiselle,77.9,79.4,73,88.8,60.6,51.8,27,53.3,7
2936,Pleasures,46.7,75.8,53.9,73.6,57.3,50.9,35.8,53,8
2936,Shalimar,88.5,73.6,36.7,74.8,12.7,37,11.2,47.6,2
2996,Angel,73.3,64.5,47.9,64.2,47.6,65.2,46.1,60.3,5
2996,Chanel N5,68.8,70.3,74.5,75.2,49.1,58.2,40.9,54.2,7
2996,Coco Mademoiselle,58.2,57.9,65.2,66.4,64.2,63.6,57,58.2,5
2996,Pleasures,57.9,57,56.1,69.7,50,60.9,45.5,56.7,6
2996,Shalimar,69.4,55.5,46.7,59.4,42.1,50.6,23.9,31.5,4
